facility_name,longitude,latitude,description,address1,city,state,fac_zip
NY Med of Brooklyn,"-73.95008","40.67115",Diagnostic and Treatment Center,765 Nostrand Avenue,Brooklyn,New York,"11216"
Adolescent Health and Wellness Center,"-73.891602","40.821728",Diagnostic and Treatment Center Extension Clinic,960 Southern Boulevard,Bronx,New York,"10459"
Queens Health Center,"-73.927765","40.744427",Diagnostic and Treatment Center Extension Clinic,37-11 Queens Blvd,Long Island City,New York,"11101"
Manhattan Center for Math & Science,"-73.933334","40.794697",School Based Hospital Extension Clinic,FDR Drive & E 116th Street,New York,New York,"10029"
Phoenix House Long Island City Family Health Center,"-73.940491","40.765057",Diagnostic and Treatment Center Extension Clinic,34-11 Vernon Boulevard,Long Island City,New York,"11106"
Stevenson High School,"-73.855673","40.821344",School Based Hospital Extension Clinic,1980 Lafayette Avenue,Bronx,New York,"10473"
PS 48,"-73.886726","40.814362",School Based Diagnostic and Treatment Center Extension Clinic,1290 Spofford Ave.,Bronx,New York,"10474"
New York Eye and Ear Infirmary of Mount Sinai,"-73.984711","40.732189",Hospital,310 East 14th Street,New York,New York,"10003"
Bay Ridge Sunset Park Dialysis Center,"-74.022873","40.645264",Diagnostic and Treatment Center,140 58th Street Bldg B Suite 1-I,Brooklyn,New York,"11220"
City Wide Health Facility Inc.,"-73.98381","40.61097",Diagnostic and Treatment Center Extension Clinic,6817 Bay Parkway,Brooklyn,New York,"11204"
Callen-Lorde Brooklyn,"-73.985443","40.697418",Diagnostic and Treatment Center Extension Clinic,40 Flatbush Avenue Extension,Brooklyn,New York,"11201"
Murry Bergtraum High School Campus,"-74.001767","40.7111",School Based Diagnostic and Treatment Center Extension Clinic,"411 Pearl Street, Room 500",New York,New York,"10038"
Premium Health,"-73.971024","40.630184",Diagnostic and Treatment Center,620 Foster Avenue,Brooklyn,New York,"11230"
New Dorp High School,"-74.107338","40.569302",School Based Hospital Extension Clinic,465 New Dorp Lane,Staten Island,New York,"10306"
P.S. 002 Meyer London,"-73.99135","40.713167",School Based Hospital Extension Clinic,122 Henry Street,New York,New York,"10002"
CES 73,"-73.926704","40.83276",School Based Diagnostic and Treatment Center Extension Clinic,1020 Anderson Avenue,Bronx,New York,"10452"
PS 108,"-73.948235","40.795238",School Based Hospital Extension Clinic,1615 Madison Avenue,New York,New York,"10029"
CHCR Stapleton St. George Health Center,"-74.07843","40.627022",Diagnostic and Treatment Center Extension Clinic,135 Canal Street,Staten Island,New York,"10304"
Chemical Dependence Treatment Program,"-74.077621","40.62706",Hospital Extension Clinic,111 Water Street,Staten Island,New York,"10304"
Harlem Health Center,"-73.937134","40.813541",Diagnostic and Treatment Center Extension Clinic,1333 Morningside Avenue,New York,New York,"10027"
Montefiore Medical Center-Wakefield Hospital,"-73.86142","40.894569",Hospital,600 East 233rd Street,Bronx,New York,"10466"
Mount Sinai Hospital - Mount Sinai Hospital Queens,"-73.884457","40.749003",Hospital Extension Clinic,37-12 82nd Street,Jackson Heights,New York,"11372"
Bushwick Educational Campus,"-73.911382","40.69709",School Based Diagnostic and Treatment Center Extension Clinic,400 Irving Avenue,Brooklyn,New York,"11237"
M S 51- Alexander,"-73.984138","40.671848",School Based Hospital Extension Clinic,350 5th Avenue,Brooklyn,New York,"11215"
L'Refuah Medical & Rehabilitation Center,"-73.985405","40.640945",Diagnostic and Treatment Center,1312 38th Street,Brooklyn,New York,"11218"
CHN Mobile Unit Two,"-73.805962","40.696922",Mobile Diagnostic and Treatment Center Extension Clinic,97-04 Sutphin Boulevard,Jamaica,New York,"11435"
Lower Eastside Service Center Inc,"-73.99585","40.713638",Diagnostic and Treatment Center Extension Clinic,46 East Broadway,New York,New York,"10002"
All-Med Rehabilitation Center Queens,"-73.837669","40.696445",Diagnostic and Treatment Center Extension Clinic,110-20 Jamaica Ave,Queens,New York,"11418"
Goodwill Integrated Health and Wellness Center (GIHWC),"-73.932487","40.77486",Diagnostic and Treatment Center Extension Clinic,4-21 27th Street,Astoria,New York,"11102"
"Manhattan Endoscopy Center, LLC","-73.979721","40.754951",Diagnostic and Treatment Center,535 5th Avenue,New York,New York,"10017"
"Endoscopic Ambulatory Specialty Center of Bay Ridge, Inc.","-74.025322","40.630009",Diagnostic and Treatment Center,7601 Fourth Avenue,Brooklyn,New York,"11209"
Bayard Rustin Education Complex (BREC),"-73.992249","40.73867",School Based Hospital Extension Clinic,West 18th Street,New York,New York,"10011"
Sunset Terrace Family Health Center at NYU Langone,"-74.009232","40.645313",Hospital Extension Clinic,514 49th Street,Brooklyn,New York,"11220"
Gouverneur Clinic,"-73.988365","40.718433",Hospital Extension Clinic,109 Delancey St,New York,New York,"10002"
North Queens Surgical Center,"-73.782028","40.755056",Diagnostic and Treatment Center,45-64 Francis Lewis Boulevard,Bayside,New York,"11361"
Fordham Tremont Comm Mentl Health Center,"-73.885063","40.846352",Hospital Extension Clinic,817 East 180th Street,Bronx,New York,"10460"
NewYork-Presbyterian/Queens,"-73.826035","40.747517",Hospital,56-45 Main Street,Flushing,New York,"11355"
BronxCare Center for Physical Rehabilitation,"-73.909665","40.846509",Hospital Extension Clinic,1775 Grand Concourse,Bronx,New York,"10453"
Central Harlem Health Center,"-73.937134","40.813541",Diagnostic and Treatment Center Extension Clinic,2238 Fifth Avenue,New York,New York,"10035"
"Vocational Instruction Project Community Services, Inc.","-73.893288","40.845509",Diagnostic and Treatment Center,770 East 176th Street,Bronx,New York,"10460"
Seward Park Educational Campus,"-73.989323","40.717321",School Based Diagnostic and Treatment Center Extension Clinic,350 Grand Street,New York,New York,"10002"
Soundview Dialysis Center,"-73.874184","40.823925",Diagnostic and Treatment Center Extension Clinic,1622-24 Bruckner Blvd,Bronx,New York,"10473"
Methadone Clinc I,"-73.92746","40.673027",Hospital Extension Clinic,1480 Prospect Place,Brooklyn,New York,"11213"
Settlement Health,"-73.944023","40.791229",Diagnostic and Treatment Center,212 East 106th Street,New York,New York,"10029"
"Be Well Primary Health Care Center, LLC","-73.947876","40.636341",Diagnostic and Treatment Center,3007 Farragut Road,Brooklyn,New York,"11210"
CitiCARES Community Health Center,"-73.946765","40.809789",Diagnostic and Treatment Center Extension Clinic,154 West 127th Street,New York,New York,"10027"
Coney Island Hospital,"-73.965797","40.58662",Hospital,2601 Ocean Parkway,Brooklyn,New York,"11235"
NYP/Queens Family Health Center,"-73.893234","40.754845",Hospital Extension Clinic,73-15 Northern Boulevard,Jackson Heights,New York,"11372"
PS 196/MS 582,"-73.939916","40.708721",School Based Hospital Extension Clinic,207 Bushwick Avenue,Brooklyn,New York,"11206"
"New York Artificial Kidney Center, Inc","-73.94121","40.584192",Diagnostic and Treatment Center,2701 Emmons Avenue,Brooklyn,New York,"11235"
NYU Mobile Dental Equip Sch Prog,"-73.978661","40.737877",School Based Diagnostic and Treatment Center Extension Clinic,345 East 24th Street,New York,New York,"10010"
"BronxCare Dr. Martin Luther King, Jr. Health Center","-73.902634","40.831161",Diagnostic and Treatment Center,1265 Franklin Avenue,Bronx,New York,"10456"
"ODA Primary Health Network, Inc.","-73.964172","40.709152",Diagnostic and Treatment Center Extension Clinic,432 Bedford Avenue,Brooklyn,New York,"11211"
Morris Heights Health Center,"-73.910629","40.85471",Diagnostic and Treatment Center,85 West Burnside Avenue,Bronx,New York,"10453"
Springfield Gardens Educational Campus,"-73.756819","40.668883",School Based Diagnostic and Treatment Center Extension Clinic,143-10 Springfield Boulevard,Springfield Gardens,New York,"11413"
Dewitt Clinton High School,"-73.886765","40.88179",School Based Hospital Extension Clinic,100 West Mosholu Parkway South,Bronx,New York,"10468"
East Tremont Medical Center,"-73.883591","40.841633",Diagnostic and Treatment Center Extension Clinic,930 East Tremont Avenue,Bronx,New York,"10460"
CHN Mobile Unit Three,"-73.805962","40.696922",Mobile Diagnostic and Treatment Center Extension Clinic,97-04 Sutphin Boulevard,Jamaica,New York,"11435"
Weill Cornell Imaging at New York Presbyterian,"-73.955346","40.764794",Diagnostic and Treatment Center Extension Clinic,"1283 York Avenue, 7th Floor",New York,New York,"10065"
Richmond University Medical Center,"-74.106674","40.635807",Hospital,355 Bard Avenue,Staten Island,New York,"10310"
PS 199,"-73.920354","40.843334",School Based Hospital Extension Clinic,1449 Shakespeare Ave,Bronx,New York,"10452"
Canarsie Multi Service Center,"-73.898193","40.65073",Hospital Extension Clinic,567 East 105th St,Brooklyn,New York,"11218"
Peninsula Community Health Center,"-73.856194","40.823139",Diagnostic and Treatment Center Extension Clinic,1967 Turnbull Avenue,Bronx,New York,"10473"
Auburn Family Assessment Center,"-73.976624","40.694435",Diagnostic and Treatment Center Extension Clinic,39 Auburn Place,Brooklyn,New York,"10005"
William F. Ryan Community Health Center,"-73.968834","40.794228",Diagnostic and Treatment Center,110 West 97th Street,New York,New York,"10025"
"Century Medical and Dental Center, Inc.","-73.986132","40.689703",Diagnostic and Treatment Center Extension Clinic,200 Livingston Street,Brooklyn,New York,"11201"
Montefiore Medical Center - Wellness Center at Waters Place,"-73.840885","40.845941",Hospital Extension Clinic,1510 Waters Place,Bronx,New York,"10461"
Avantus Harlem Green Dialysis Center,"-73.95536","40.814388",Diagnostic and Treatment Center Extension Clinic,488 West 128th Street,New York,New York,"10065"
Greenwich House Methadone,"-73.997757","40.725502",Diagnostic and Treatment Center,190 Mercer Street,New York,New York,"10012"
PS7 - MS Stern,"-73.939255","40.800926",School Based Diagnostic and Treatment Center Extension Clinic,160 East 120th Street,New York,New York,"10035"
Brookdale Family Care Center at Penn Ave,"-73.886772","40.653175",Hospital Extension Clinic,1110 Pennsylvania Avenue,Brooklyn,New York,"11207"
P.S. 18,"-74.117409","40.635918",School Based Hospital Extension Clinic,221 Broadway,Staten Island,New York,"10310"
P. S. 142,"-73.984283","40.718544",School Based Diagnostic and Treatment Center Extension Clinic,100 Attorney Street,New York,New York,"10002"
Clinton Hill Dialysis,"-73.952789","40.679501",Diagnostic and Treatment Center Extension Clinic,1275 Bedford Avenue,Brooklyn,New York,"11216"
New York Preventive Health Center,"-73.850571","40.722218",Diagnostic and Treatment Center,68-60 Austin Street,Forest Hills,New York,"11375"
Monroe Academy Campus,"-73.899719","40.83136",School Based Diagnostic and Treatment Center Extension Clinic,1300 Boyton Avenue,Bronx,New York,"10472"
PS 188,"-74.000163","40.577161",School Based Hospital Extension Clinic,3314 Neptune Avenue,Brooklyn,New York,"11224"
Main Street Radiology at Bayside LLC,"-73.894317","40.754333",Diagnostic and Treatment Center Extension Clinic,72-06 Northern Blvd,Jackson Heights,New York,"11372"
Metro Community Health Center Staten Island,"-74.167397","40.627441",Diagnostic and Treatment Center Extension Clinic,2324 Forest Ave,Staten Island,New York,"10303"
New York Eye & Ear Outpatient Center,"-73.984802","40.732468",Hospital Extension Clinic,230 Second Avenue,New York,New York,"10003"
PS 135 Sheldon A. Brookner,"-73.932977","40.653418",School Based Hospital Extension Clinic,684 Linden Boulevard,Brooklyn,New York,"11203"
Ponce de Leon Elementary School/PS 161,"-73.905464","40.814877",School Based Diagnostic and Treatment Center Extension Clinic,628 Tinton Avenue,Bronx,New York,"10459"
"Queens Endoscopy ASC, LLC","-73.792709","40.773457",Diagnostic and Treatment Center,Utopia Center,Flushing,New York,"11366"
PS 382,"-73.90274","40.85479",School Based Diagnostic and Treatment Center Extension Clinic,125 East 181st Street,Bronx,New York,"10453"
Cassena Care Dialysis at Morningside,"-73.85951","40.856526",Diagnostic and Treatment Center,1000 Pelham Parkway South,Bronx,New York,"10461"
NYU Langone Perlmutter Cancer Center - Midwood,"-73.9636","40.607414",Hospital Extension Clinic,902 Quentin Road,Brooklyn,New York,"11223"
Century Medical and Dental Center,"-73.959953","40.654026",Diagnostic and Treatment Center Extension Clinic,770 Flatbush Avenue,Brooklyn,New York,"11226"
James Monroe Annex,"-73.878349","40.83139",School Based Diagnostic and Treatment Center Extension Clinic,1551 East 172nd Street,Bronx,New York,"10472"
Choices Women's Medical Center Inc,"-73.80677","40.701717",Diagnostic and Treatment Center,147-32 Jamaica Avenue,Jamaica,New York,"11435"
Family Health Center Bushwick High School,"-73.910637","40.696823",Hospital Extension Clinic,400 Irving Avenue,Brooklyn,New York,"11237"
FMS-Eastchester,"-73.842687","40.849448",Diagnostic and Treatment Center Extension Clinic,"1776 Eastchester Road, Suite 240",Bronx,New York,"10461"
Ambulatory Surgery Center of Greater New York,"-73.855171","40.858292",Diagnostic and Treatment Center,1101 Pelham Parkway N,Bronx,New York,"10469"
A Merryland Health Center,"-73.98475","40.57718",Diagnostic and Treatment Center,2873 West 17th Street,Brooklyn,New York,"11224"
Conduit Avenue Dialysis,"-73.757345","40.665448",Diagnostic and Treatment Center Extension Clinic,219-10 South Conduit Avenue,Springfield Gardens,New York,"11413"
Mount Sinai West,"-73.987785","40.770092",Hospital,1000 10th Avenue,New York,New York,"10019"
Alegria Operating LLC,"-73.90645","40.83034",Diagnostic and Treatment Center,3475 Third Avenue,Bronx,New York,"10456"
HSS Dana Center,"-73.952354","40.767101",Hospital Extension Clinic,510 East 73rd Street,New York,New York,"10021"
Third Avenue Family Health Center,"-73.925056","40.811897",Diagnostic and Treatment Center Extension Clinic,2604 Third Avenue,Bronx,New York,"10451"
SurgiCare of Brooklyn,"-74.009987","40.651363",Diagnostic and Treatment Center,313 43rd Street,Brooklyn,New York,"11232"
Calvary Hospital,"-74.021033","40.646444",Hospital,150 55th Street,Brooklyn,New York,"11220"
"Community Health Center of Richmond, Inc.","-74.135056","40.635456",Diagnostic and Treatment Center,235 Port Richmond Avenue,Staten Island,New York,"10302"
Upper Room AIDS Ministry ADHC,"-73.946495","40.807384",Diagnostic and Treatment Center,123-125 West 124th Street,New York,New York,"10027"
Lenox Hill Hospital Extension Clinic at MEETH,"-73.963821","40.764416",Hospital Extension Clinic,210 East 64th Street,New York,New York,"10021"
"Kips Bay Endoscopy Center, LLC","-73.977951","40.742046",Diagnostic and Treatment Center,535 Second Avenue,New York,New York,"10016"
Downtown Bronx ASC,"-73.911774","40.825321",Diagnostic and Treatment Center,951 Brook Avenue,Bronx,New York,"10451"
"Hudson Surgery Center, LLC","-73.9967","40.74439",Diagnostic and Treatment Center,234-238 East 23rd Street,New York,New York,"10010"
FMS-City Dialysis Center,"-73.947311","40.792744",Diagnostic and Treatment Center Extension Clinic,105 East 106th Street,New York,New York,"10029"
Center for Womens Health,"-74.085876","40.583263",Hospital Extension Clinic,440 Seaview Avenue,Staten Island,New York,"10305"
Physicians Choice Surgicenter,"-73.852402","40.667561",Diagnostic and Treatment Center,82-12 151st Avenue,Howard Beach,New York,"11414"
Hillside Polymedic Diagnostic and Treatment Center,"-73.774277","40.714844",Diagnostic and Treatment Center,18730 Hillside Avenue,Jamaica,New York,"11432"
New York Neuro & Rehab Center,"-73.932274","40.857269",Diagnostic and Treatment Center,4468-4474 Broadway,New York,New York,"10040"
Staten Island Dialysis Center,"-74.080566","40.598705",Diagnostic and Treatment Center Extension Clinic,1139 Hylan Boulevard,Staten Island,New York,"10305"
NYU Langone Orthopedic Hospital,"-73.98307","40.734127",Hospital,301 East 17th Street,New York,New York,"10003"
Ida G Israel Community Health Center,"-73.985646","40.576097",Hospital Extension Clinic,2925 West 19th Street,Brooklyn,New York,"11224"
BMS ISIS at Bristol,"-73.911385","40.66497",Diagnostic and Treatment Center Extension Clinic,"259 Bristol Street, 3rd Floor",Brooklyn,New York,"11212"
Staten Island South Dialysis,"-74.176109","40.540428",Diagnostic and Treatment Center Extension Clinic,30 Sneden Avenue,Staten Island,New York,"10312"
Intermediate School 145,"-73.88752","40.754391",School Based Diagnostic and Treatment Center Extension Clinic,33-34 80th Street,Jackson Heights,New York,"11372"
Laurance S Rockefeller OP Pavilion,"-73.970634","40.758144",Hospital Extension Clinic,160 East 53rd Street,New York,New York,"10022"
Gan Day Care,"-73.983765","40.636234",School Based Diagnostic and Treatment Center Extension Clinic,4206 15th Avenue,Brooklyn,New York,"11219"
Planned Parenthood Margaret Sanger Center,"-73.993538","40.725521",Diagnostic and Treatment Center,26 Bleecker Street,New York,New York,"10012"
Beth Israel Med Center 3-C,"-73.980141","40.739037",Hospital Extension Clinic,433 2nd Avenue,New York,New York,"10010"
Dyker Heights Dialysis Center,"-74.010681","40.612186",Diagnostic and Treatment Center Extension Clinic,1435 86th Street,Brooklyn,New York,"11228"
Bensonhurst Clinic Treatment Program,"-74.003136","40.606895",Hospital Extension Clinic,8620 18th Avenue,Brooklyn,New York,"11214"
Union Square Eye Care - Harlem,"-73.943517","40.801553",Diagnostic and Treatment Center,1815 Madison Avenue,New York,New York,"10035"
Eleanor Roosevelt Houses Child HC,"-73.934799","40.693974",Diagnostic and Treatment Center Extension Clinic,388 Pulaski Street,Brooklyn,New York,"11206"
PHC,"-0.3735345","53.7845549",Diagnostic and Treatment Center,4424-4426 18th Avenue,Brooklyn,New York,"11204"
Broadway Family Health Center,"-73.925835","40.691582",Diagnostic and Treatment Center Extension Clinic,1238 Broadway,Brooklyn,New York,"11221"
UHB Family Health Services,"-73.934166","40.663326",Hospital Extension Clinic,840 Lefferts Avenue,Brooklyn,New York,"11203"
Amsterdam Center,"-73.971588","40.792492",Diagnostic and Treatment Center Extension Clinic,690 Amsterdam Avenue,New York,New York,"10025"
Primary Care Network,"-73.890228","40.86064",Hospital Extension Clinic,One Fordham Plaza,Bronx,New York,"10458"
Jamaica Hospital Mental Health Clinic,"-73.815239","40.699696",Hospital Extension Clinic,90-09 Van Wyck Expressway,Jamaica,New York,"11418"
SBH Health and Wellness Center,"-73.891304","40.853688",Hospital Extension Clinic,4507 Third Avenue,Bronx,New York,"10457"
Middle School 142,"-73.840729","40.885578",School Based Hospital Extension Clinic,3750 Baychester Avenue,Bronx,New York,"10466"
Juan Morel Campos Campus,"-73.954386","40.702898",School Based Hospital Extension Clinic,215 Heyward Street,Brooklyn,New York,"11206"
Hutchinson River Dialysis,"-73.84362","40.86058",Diagnostic and Treatment Center Extension Clinic,2331 Eastchester Road,Bronx,New York,"10469"
Interfaith Medical Center,"-73.937515","40.67794",Hospital,1545 Atlantic Avenue,Brooklyn,New York,"11213"
Port Richmond High School,"-74.142015","40.634843",School Based Hospital Extension Clinic,85 St. Joseph's Avenue,Staten Island,New York,"10302"
Montefiore Medical Center - Montefiore Westchester Square,"-73.848244","40.840431",Hospital,2475 St. Raymond Avenue,Bronx,New York,"10461"
BMS at Ashford,"-73.883141","40.665783",Diagnostic and Treatment Center Extension Clinic,650 Ashford Street,Brooklyn,New York,"11207"
Ralph Lauren Center for Cancer Care and Prevention,"-73.941093","40.804849",Hospital Extension Clinic,1919 Madison Avenue,New York,New York,"10035"
Methadone 1,"-73.880089","40.88406",Hospital Extension Clinic,3550 Jerome Avenue,Bronx,New York,"10467"
Metro Community Health Center Bronx,"-73.882599","40.838833",Diagnostic and Treatment Center,979 Cross Bronx Expressway Service Road,Bronx,New York,"10460"
Burke Rehab Sports&Physical Medicine,"-73.835518","40.844379",Hospital Extension Clinic,2826 Westchester Avenue,Bronx,New York,"10461"
FMS-Queens Kidney Care,"-73.901855","40.715935",Diagnostic and Treatment Center Extension Clinic,60-40 Fresh Pond Road,Maspeth,New York,"11378"
Maimonides Breast Center,"-74.012894","40.633896",Hospital Extension Clinic,745 64th Street,Brooklyn,New York,"11220"
Richmond Hill Clinic,"-73.820709","40.699528",Diagnostic and Treatment Center Extension Clinic,130-20 89th Road,Richmond Hill,New York,"11418"
Medcare LLC,"-73.956383","40.689243",Diagnostic and Treatment Center,468 Lafayette Avenue,Brooklyn,New York,"11205"
Maimonides Adult and Pediatric Care Newkirk Avenue,"-73.964157","40.635189",Hospital Extension Clinic,1401 Newkirk Avenue,Brooklyn,New York,"11226"
St. Joseph's Medical Center Imaging Center,"-73.908279","40.879662",Hospital Extension Clinic,3050 Corlear Avenue,Bronx,New York,"10463"
Park Avenue Family Health Center,"-73.8993","40.847176",Diagnostic and Treatment Center Extension Clinic,4196 Park Avenue,Bronx,New York,"10457"
Bronx Health Center,"-73.924967","40.81473",Diagnostic and Treatment Center,253 East 142nd Street,Bronx,New York,"10451"
P.S. 31,"-74.148674","40.586258",School Based Hospital Extension Clinic,55 Layton Street,Staten Island,New York,"10310"
Settlement Health Plaza,"-73.938109","40.790065",Diagnostic and Treatment Center Extension Clinic,2070 First Avenue,New York,New York,"10029"
Mobile Dental Center,"-73.95605","40.81763",Diagnostic and Treatment Center Extension Clinic,78 Old Broadway,New York,New York,"10027"
Project Renewal Inc Mobile Medical Van (Care Van),"-73.991211","40.726082",Mobile Diagnostic and Treatment Center Extension Clinic,8 East Third Street,New York,New York,"10003"
Moshenyat Gastroenterology Center,"-73.954614","40.614128",Diagnostic and Treatment Center,1958 Ocean Avenue,Brooklyn,New York,"11230"
Ambulatory Care Pavilion,"-74.109016","40.634666",Hospital Extension Clinic,800 Castleton Avenue,Staten Island,New York,"10310"
Doral Medical and Multispecialty Facility,"-73.906768","40.670508",Diagnostic and Treatment Center,1797 Pitkin Avenue,Brooklyn,New York,"11212"
Narco Freedom-Grand Concourse,"-73.929298","40.813755",Diagnostic and Treatment Center Extension Clinic,250 Grand Concourse,Bronx,New York,"10451"
Park Tree Community Health Center,"-73.88632","40.842959",Diagnostic and Treatment Center Extension Clinic,866 East Tremont Avenue,Bronx,New York,"10460"
The Floating Hospital,"-73.946329","40.756084",Diagnostic and Treatment Center Extension Clinic,10-29 41st Avenue,Long Island City,New York,"11101"
FMS-Morris Park,"-73.844727","40.851326",Diagnostic and Treatment Center Extension Clinic,1325 Morris Park Avenue,Bronx,New York,"10461"
Sun River Health Suthpin Boulevard,"-73.803658","40.695549",Diagnostic and Treatment Center Extension Clinic,105-04 Sutphin Boulevard,Jamaica,New York,"11435"
Manhattan Reproductive Surgery Center,"-74.012376","40.707044",Diagnostic and Treatment Center,"65 Broadway, 21st Floor",New York,New York,"10006"
Lincoln Medical & Mental Health Center,"-73.92421","40.817661",Hospital,234 East 149th Street,Bronx,New York,"10451"
CES 126,"-73.928757","40.835983",School Based Diagnostic and Treatment Center Extension Clinic,175 West 166th Street,Bronx,New York,"10452"
Maimonides Cardiology Outpatient Center,"-73.972816","40.638439",Hospital Extension Clinic,421 Ocean Parkway,Brooklyn,New York,"11218"
Springfield Community Health Center,"-73.754693","40.678499",Diagnostic and Treatment Center Extension Clinic,134-64 Springfield Boulevard,Springfield Gardens,New York,"11413"
Community Health Academy of the Heights (Phoenix),"-73.941861","40.83353",School Based Diagnostic and Treatment Center Extension Clinic,504 West 158th Street,New York,New York,"10032"
PS 223,"-73.790395","40.674678",School Based Hospital Extension Clinic,125-20 Sutphin Blvd,Jamaica,New York,"11434"
PS 288,"-73.992017","40.574428",School Based Hospital Extension Clinic,2950 West 25th Street,Brooklyn,New York,"11224"
NYU Langone Rusk Rehabilitation Brooklyn,"-74.021255","40.642466",Hospital Extension Clinic,230 60th Street,Brooklyn,New York,"11200"
NYP/Queens Obstetrics Center,"-73.805344","40.739002",Hospital Extension Clinic,"163-03 Horace Harding Expressway, 2nd & 5th Floors",Fresh Meadows,New York,"11365"
South Beach Psychiatric Center,"-74.078171","40.579605",Hospital Extension Clinic,777 Seaview Avenue,Staten Island,New York,"10305"
Staten Island Artificial Kidney Center,"-74.160187","40.610657",Diagnostic and Treatment Center,1550 Richmond Avenue,Staten Island,New York,"10314"
Methadone Clinic III,"-73.907028","40.854176",Hospital Extension Clinic,2058 Jerome Avenue,Bronx,New York,"10453"
CenterLight Healthcare D&TC - Grand Street Site,"-73.987213","40.716",Diagnostic and Treatment Center Extension Clinic,375 Grand Street,New York,New York,"10002"
Urban Health Plan,"-73.926056","40.810875",Diagnostic and Treatment Center Extension Clinic,271 East 138th Street,Bronx,New York,"10454"
Brookdale Family Care Center-New Lots,"-73.890541","40.663029",Diagnostic and Treatment Center Extension Clinic,465 New Lots Avenue,Brooklyn,New York,"11207"
HSS East Side Outpatient Center,"-73.961976","40.763998",Hospital Extension Clinic,1233 Second Avenue,New York,New York,"10065"
P.S. 092 Adrian Hegeman,"-73.953833","40.656282",School Based Hospital Extension Clinic,601 Parkside Avenue,Brooklyn,New York,"11226"
Brook Plaza Ambulatory Surgical Center Inc,"-73.927483","40.625282",Diagnostic and Treatment Center,1901 Utica Avenue,Brooklyn,New York,"11234"
NYP/Queens Special Care Center,"-73.8273","40.742966",Hospital Extension Clinic,"138-47 Horace Harding Expressway, 2nd floor",Flushing,New York,"11355"
Bronx Medical and Wellness Center,"-73.922493","40.836543",Diagnostic and Treatment Center Extension Clinic,1227 Edward L. Grant Highway,Bronx,New York,"10452"
Louis Brandeis High School,"-73.972977","40.785164",School Based Hospital Extension Clinic,145 West 84th Street,New York,New York,"10024"
Betances Health Center at Henry Street Settlement,"-73.98513","40.712601",Diagnostic and Treatment Center Extension Clinic,40 Montgomery Street,New York,New York,"10002"
Brooklyn Plaza Med Ctr Whitman-Ingersoll-Farragut H C,"-73.976097","40.693428",Diagnostic and Treatment Center Extension Clinic,297 Myrtle Avenue,Brooklyn,New York,"11205"
Community Health Initiatives Inc.,"-73.98306","40.577153",Diagnostic and Treatment Center,"2882 West 15th Street, Lower Level",Brooklyn,New York,"11224"
P S 64,"-73.981216","40.724247",School Based Diagnostic and Treatment Center Extension Clinic,600 E 6th Street,New York,New York,"10009"
New York-Presbyterian/Lower Manhattan Hospital,"-74.005486","40.710426",Hospital,170 William Street,New York,New York,"10038"
University Hospital of Brooklyn,"-73.945045","40.654518",Hospital,445 Lenox Road,Brooklyn,New York,"11203"
FMS-South Queens Dialysis Center,"-73.784019","40.704983",Diagnostic and Treatment Center Extension Clinic,175-37 Liberty Avenue,Jamaica,New York,"11433"
Path Center,"-73.957082","40.650342",Hospital Extension Clinic,2244 Church Avenue,Brooklyn,New York,"11226"
Sun River Health Church Avenue,"-73.955406","40.650112",Diagnostic and Treatment Center Extension Clinic,2412 Church Avenue,Brooklyn,New York,"11226"
ArchCare Senior Life at San Vicente de Paul Catholic Healthcare Center,"-73.896103","40.81908",Diagnostic and Treatment Center Extension Clinic,900 Intervale Avenue,Bronx,New York,"10459"
Beth Israel Med Center 1-E 2-F 3-G,"-73.980194","40.73896",Hospital Extension Clinic,429 2nd Avenue,New York,New York,"10010"
Sunset Park Familly Health Center,"-74.020584","40.645657",Hospital Extension Clinic,5610 2nd Avenue,Brooklyn,New York,"11220"
"Carnegie Hill Institute, Inc","-73.953506","40.783539",Diagnostic and Treatment Center,116 East 92nd Street,New York,New York,"10128"
Williamsburg Dialysis Center,"-73.945256","40.702195",Diagnostic and Treatment Center,89 Bartlett Street,Brooklyn,New York,"11206"
Claremont Family Health Care Center,"-73.906052","40.844604",Diagnostic and Treatment Center Extension Clinic,264 East 174th Street,Bronx,New York,"10457"
Lower Manhattan Dialysis Center-2,"-73.98568","40.735233",Diagnostic and Treatment Center,187 Third Avenue,New York,New York,"10003"
Sanford R Nalitt Inst for Cancer,"-74.086708","40.586643",Hospital Extension Clinic,256 Mason Avenue,Staten Island,New York,"10305"
Marie Curie Campus,"-73.901516","40.875451",School Based Diagnostic and Treatment Center Extension Clinic,"X244 and X237, 120 West 231st Street",Bronx,New York,"10463"
CHN - Community League Center,"-73.942261","40.832893",Diagnostic and Treatment Center Extension Clinic,511 West 157th Street,New York,New York,"10032"
St Martin De Porres Clinic,"-73.896873","40.664169",Hospital Extension Clinic,480 Alabama Avenue,Brooklyn,New York,"11207"
Odyssey House of New York Inc,"-73.995316","40.727074",Diagnostic and Treatment Center,666 Broadway  Tenth Floor,New York,New York,"10012"
Brooklyn Gardens Dialysis Center,"-73.925751","40.678588",Diagnostic and Treatment Center,835 Herkimer Street,Brooklyn,New York,"11233"
Henry Street School,"-73.98631","40.713604",School Based Diagnostic and Treatment Center Extension Clinic,220 Henry Street,Manhattan,New York,"10002"
